slope,disp,mutsd,pert_treat,patch_sd,ac,draw,batch,rep,base_n,base_usd,base_xsd,base_xmean,trough_n,trough_t,trough_usd,trough_xsd,trough_xmean,peak_n,peak_t,final_n,final_t,final_usd,final_xsd,final_xmean,final_mal,n_steps,survived
0.8,1.5,0,10,1,0,0,1,8,1395.5,23.947200000000002,30.0357,48.0323,4.0,290.0,32.994,41.3047,70.9602,4.0,290.0,4.0,290.0,32.994,41.3047,70.9602,0.873071,29,0
0.8,1.5,0,10,1,0,0,1,9,1395.5,23.6401,29.610999999999997,51.44535,1.0,290.0,nan,nan,57.5261,1.0,290.0,1.0,290.0,nan,nan,57.5261,0.467721,29,0
0.8,1.5,0,10,1,0,1,1,0,1424.5,24.5243,30.62185,48.97725,20.0,290.0,11.982,18.9911,14.3143,193.0,900.0,127.0,910.0,2.31841e-14,2.34265,5.96609,9.70078,91,1
0.8,1.5,0,10,1,0,1,1,1,1423.0,23.825850000000003,29.821199999999997,50.4613,10.0,290.0,10.3049,8.29928,82.3851,173.0,650.0,99.0,910.0,2.85664e-14,1.95305,84.4124,10.2909,91,1
0.8,1.5,0,10,1,0,1,1,2,1394.5,23.49415,29.4416,49.33605,2.0,300.0,0.0,1.46238,38.3206,2.0,300.0,2.0,300.0,0.0,1.46238,38.3206,0.472489,30,0
0.8,1.5,0,10,1,0,1,1,3,1438.5,23.77545,29.74715,49.68015,0.0,320.0,nan,nan,nan,0.0,320.0,0.0,320.0,nan,nan,nan,nan,32,0
0.8,1.5,0,10,1,0,1,1,4,1430.5,24.0319,30.011850000000003,49.7613,15.0,330.0,1.47096e-14,2.40135,66.9946,162.0,670.0,150.0,910.0,1.42585e-14,2.25125,67.4147,9.94739,91,1
0.8,1.5,0,10,1,0,1,1,5,1425.5,22.99495,28.768549999999998,48.880849999999995,0.0,310.0,nan,nan,nan,0.0,310.0,0.0,310.0,nan,nan,nan,nan,31,0
0.8,1.5,0,10,1,0,1,1,6,1400.0,24.030949999999997,30.0324,49.97535,3.0,290.0,28.4825,35.2855,70.4354,3.0,290.0,3.0,290.0,28.4825,35.2855,70.4354,0.548749,29,0
0.8,1.5,0,10,1,0,1,1,7,1422.5,24.0006,30.0204,49.7959,23.0,300.0,0.0,1.74806,22.2326,182.0,470.0,72.0,910.0,3.21988e-14,2.0995,22.964,10.0741,91,1
0.8,1.5,0,10,1,0,1,1,8,1465.0,24.1759,30.199550000000002,50.27245,14.0,310.0,0.0,1.33236,54.1717,183.0,770.0,155.0,910.0,4.98992e-14,2.37384,54.5612,10.2609,91,1
0.8,1.5,0,10,1,0,1,1,9,1407.0,24.0047,29.94195,48.7638,17.0,300.0,1.46482e-14,2.40493,72.2961,191.0,480.0,107.0,910.0,1.71333e-13,2.36463,72.3835,10.1894,91,1
